thread_1_core,thread_2_core,period_1,period_2
16,6,0.263211,0.263211
16,7,0.263208,0.263208
16,8,0.263201,0.263208
16,9,0.263205,0.263206
16,10,0.263208,0.263210
16,11,0.263205,0.263206
16,12,0.263317,0.263297
16,13,0.263321,0.263321
16,14,0.263308,0.263311
16,15,0.263310,0.263310
16,17,0.263310,0.263314
16,18,0.263308,0.263307
16,19,0.263313,0.263313
16,20,0.263318,0.263321
16,21,0.263314,0.263314
16,22,0.263276,0.263290
16,23,0.263314,0.263311
16,24,0.263204,0.263211
16,25,0.263208,0.263211
16,26,0.263196,0.263207
16,27,0.263213,0.263212
16,28,0.263209,0.263210
16,29,0.263208,0.263208
16,30,0.263203,0.263211
16,31,0.263208,0.263210
16,32,0.263208,0.263208
16,33,0.263208,0.263209
16,34,0.263210,0.263210
16,35,0.263208,0.263208
16,36,0.263314,0.263317
16,37,0.263318,0.263315
16,38,0.263310,0.263311
16,39,0.263311,0.263314
16,40,0.264034,0.264061
16,41,0.263316,0.263316
16,42,0.263311,0.263313
16,43,0.263320,0.263314
16,44,0.263310,0.263321
16,45,0.263306,0.263308
16,46,0.263321,0.263318
16,47,0.263313,0.263313
17,0,0.263210,0.263211
17,1,0.263211,0.263212
17,2,0.263203,0.263206
17,3,0.263209,0.263212
17,4,0.263193,0.263210
17,5,0.263209,0.263208
17,6,0.263205,0.263209
17,7,0.263205,0.263212
17,8,0.263207,0.263209
17,9,0.263207,0.263208
17,10,0.263206,0.263211
17,11,0.263196,0.263207
17,12,0.263315,0.263315
17,13,0.263316,0.263311
17,14,0.263311,0.263316
17,15,0.263310,0.263309
17,16,0.263320,0.263320
17,18,0.263306,0.263318
17,19,0.263317,0.263317
17,20,0.263317,0.263319
17,21,0.263316,0.263313
17,22,0.263310,0.263319
17,23,0.263314,0.263316
17,24,0.263209,0.263211
17,25,0.263209,0.263211
17,26,0.263192,0.263205
17,27,0.263210,0.263213
17,28,0.263209,0.263211
17,29,0.263208,0.263208
17,30,0.263201,0.263212
17,31,0.263208,0.263210
17,32,0.263204,0.263209
17,33,0.263205,0.263207
17,34,0.263209,0.263210
17,35,0.263207,0.263210
17,36,0.263311,0.263314
17,37,0.263316,0.263318
17,38,0.263285,0.263321
17,39,0.263308,0.263310
17,40,0.263316,0.263317
17,41,0.264046,0.264047
17,42,0.263311,0.263316
17,43,0.263316,0.263318
17,44,0.263318,0.263318
17,45,0.263315,0.263319
17,46,0.263322,0.263322
17,47,0.263316,0.263318
18,0,0.263205,0.263209
18,1,0.263208,0.263209
18,2,0.263204,0.263206
18,3,0.263200,0.263210
18,4,0.263206,0.263208
18,5,0.263207,0.263208
18,6,0.263209,0.263207
18,7,0.263204,0.263206
18,8,0.263205,0.263204
18,9,0.263204,0.263205
18,10,0.263199,0.263206
18,11,0.263204,0.263205
18,12,0.263316,0.263305
18,13,0.263319,0.263319
18,14,0.263303,0.263301
18,15,0.263298,0.263301
18,16,0.263317,0.263315
18,17,0.263311,0.263311
18,19,0.263314,0.263306
18,20,0.263317,0.263317
18,21,0.263299,0.263303
18,22,0.263312,0.263315
18,23,0.263296,0.263303
18,24,0.263211,0.263210
18,25,0.263199,0.263210
18,26,0.263202,0.263207
18,27,0.263208,0.263210
18,28,0.263203,0.263207
18,29,0.263204,0.263205
18,30,0.263209,0.263210
18,31,0.263203,0.263207
18,32,0.263198,0.263207
18,33,0.263205,0.263206
18,34,0.263206,0.263206
18,35,0.263205,0.263205
18,36,0.263313,0.263313
18,37,0.263311,0.263314
18,38,0.263304,0.263302
18,39,0.263298,0.263301
18,40,0.263316,0.263319
18,41,0.263313,0.263313
18,42,0.264064,0.264046
18,43,0.263312,0.263314
18,44,0.263315,0.263317
18,45,0.263265,0.263304
18,46,0.263314,0.263313
18,47,0.263309,0.263307
19,0,0.263212,0.263208
19,1,0.263208,0.263211
19,2,0.263194,0.263207
19,3,0.263208,0.263212
19,4,0.263212,0.263212
19,5,0.263211,0.263211
19,6,0.263212,0.263213
19,7,0.263211,0.263211
19,8,0.263208,0.263212
19,9,0.263195,0.263209
19,10,0.263211,0.263211
19,11,0.263208,0.263211
19,12,0.263314,0.263302
19,13,0.263317,0.263322
19,14,0.263317,0.263320
19,15,0.263310,0.263313
19,16,0.263321,0.263324
19,17,0.263318,0.263309
19,18,0.263319,0.263319
19,20,0.263320,0.263320
19,21,0.263307,0.263312
19,22,0.263321,0.263321
19,23,0.263317,0.263322
19,24,0.263200,0.263213
19,25,0.263208,0.263212
19,26,0.263206,0.263208
19,27,0.263211,0.263213
19,28,0.263200,0.263211
19,29,0.263209,0.263212
19,30,0.263209,0.263212
19,31,0.263211,0.263211
19,32,0.263211,0.263212
19,33,0.263207,0.263209
19,34,0.263211,0.263212
19,35,0.263199,0.263210
19,36,0.263316,0.263318
19,37,0.263313,0.263324
19,38,0.263304,0.263312
19,39,0.263310,0.263310
19,40,0.263314,0.263323
19,41,0.263314,0.263318
19,42,0.263315,0.263315
19,43,0.264064,0.264064
19,44,0.263320,0.263296
19,45,0.263314,0.263317
19,46,0.263316,0.263316
19,47,0.263309,0.263316
20,0,0.263214,0.263213
20,1,0.263210,0.263211
20,2,0.263201,0.263208
20,3,0.263213,0.263212
20,4,0.263211,0.263210
20,5,0.263209,0.263210
20,6,0.263213,0.263213
20,7,0.263208,0.263209
20,8,0.263210,0.263210
20,9,0.263209,0.263210
20,10,0.263212,0.263213
20,11,0.263208,0.263207
20,12,0.263306,0.263310
20,13,0.263316,0.263309
20,14,0.263291,0.263313
20,15,0.263306,0.263308
20,16,0.263319,0.263319
20,17,0.263315,0.263319
20,18,0.263311,0.263311
20,19,0.263313,0.263313
20,21,0.263309,0.263309
20,22,0.263317,0.263317
20,23,0.263310,0.263310
20,24,0.263204,0.263211
20,25,0.263210,0.263211
20,26,0.263206,0.263206
20,27,0.263202,0.263213
20,28,0.263209,0.263210
20,29,0.263208,0.263208
20,30,0.263212,0.263212
20,31,0.263210,0.263210
20,32,0.263209,0.263210
20,33,0.263205,0.263205
20,34,0.263200,0.263209
20,35,0.263208,0.263209
20,36,0.263315,0.263315
20,37,0.263313,0.263313
20,38,0.263313,0.263313
20,39,0.263309,0.263313
20,40,0.263321,0.263321
20,41,0.263318,0.263318
20,42,0.263308,0.263310
20,43,0.263301,0.263308
20,44,0.264061,0.264044
20,45,0.263309,0.263306
20,46,0.263315,0.263318
20,47,0.263311,0.263311
21,0,0.263209,0.263208
21,1,0.263202,0.263208
21,2,0.263202,0.263203
21,3,0.263205,0.263208
21,4,0.263196,0.263207
21,5,0.263204,0.263207
